target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
BACE1,xgboost,2137,10,0.6647,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-2137_size-0.001796.txt
BACE1,xgboost,2137,20,0.7058,0.5734,0.479,0.522,0.7059,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-2137_size-0.003592.txt
BACE1,xgboost,2137,50,0.6988,0.5887,0.3371,0.4287,0.7235,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-2137_size-0.00898.txt
BACE1,xgboost,2137,100,0.7377,0.6627,0.4435,0.5314,0.7712,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-2137_size-0.01796.txt
BACE1,xgboost,2137,500,0.7658,0.6874,0.5532,0.613,0.8141,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",classification_xgboost_seed-2137_size-0.089799.txt
TYK2,mlp,42,10,0.642,0.6574,0.75,0.7006,0.6687,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.001676.txt
TYK2,mlp,42,20,0.5651,0.5935,0.703,0.6436,0.5637,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.003351.txt
TYK2,mlp,42,50,0.7404,0.7256,0.8607,0.7874,0.7893,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.008378.txt
TYK2,mlp,42,100,0.7291,0.7537,0.7651,0.7594,0.7887,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.016756.txt
TYK2,mlp,42,500,0.8022,0.8812,0.7466,0.8084,0.8894,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.08378.txt
TYK2,mlp,123,10,0.7256,0.7346,0.7616,0.7478,0.7836,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.001676.txt
TYK2,mlp,123,20,0.7183,0.6844,0.8774,0.769,0.8045,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.003351.txt
TYK2,mlp,123,50,0.6994,0.6507,0.9441,0.7704,0.8038,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.008378.txt
TYK2,mlp,123,100,0.7016,0.6579,0.9196,0.767,0.7904,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.016756.txt
TYK2,mlp,123,500,0.8086,0.7882,0.8774,0.8304,0.8993,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.08378.txt
TYK2,mlp,2137,10,0.4455,0.4411,0.9761,0.6076,0.5093,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.001676.txt
TYK2,mlp,2137,20,0.6616,0.5858,0.787,0.6716,0.7534,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.003351.txt
TYK2,mlp,2137,50,0.6635,0.6034,0.6848,0.6415,0.7296,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.008378.txt
TYK2,mlp,2137,100,0.6616,0.5703,0.9348,0.7084,0.7664,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.016756.txt
TYK2,mlp,2137,500,0.8107,0.7641,0.8239,0.7929,0.8775,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.08378.txt
TYK2,randomforest,42,10,0.5886,0.6695,0.5201,0.5855,0.6775,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.001676.txt
TYK2,randomforest,42,20,0.6148,0.6283,0.7601,0.6879,0.6553,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.003351.txt
TYK2,randomforest,42,50,0.7067,0.7013,0.8272,0.759,0.7708,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.008378.txt
TYK2,randomforest,42,100,0.7404,0.7619,0.7785,0.7701,0.8095,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.016756.txt
TYK2,randomforest,42,500,0.7985,0.7757,0.8993,0.8329,0.8927,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.08378.txt
TYK2,randomforest,123,10,0.7525,0.7506,0.8038,0.7763,0.8018,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.001676.txt
TYK2,randomforest,123,20,0.7831,0.7506,0.8896,0.8142,0.8482,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.003351.txt
TYK2,randomforest,123,50,0.7722,0.7589,0.8406,0.7977,0.8438,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.008378.txt
TYK2,randomforest,123,100,0.7496,0.7621,0.7725,0.7673,0.8126,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.016756.txt
TYK2,randomforest,123,500,0.8261,0.8358,0.8392,0.8375,0.8985,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.08378.txt
TYK2,randomforest,2137,10,0.5306,0.4821,0.9087,0.63,0.6631,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.001676.txt
TYK2,randomforest,2137,20,0.6587,0.6057,0.6413,0.623,0.7252,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-2137_size-0.003351.txt
TYK2,randomforest,2137,50,0.7055,0.6338,0.7826,0.7004,0.7594,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.008378.txt
TYK2,randomforest,2137,100,0.7572,0.6922,0.8065,0.745,0.8282,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.016756.txt
TYK2,randomforest,2137,500,0.7935,0.7383,0.8217,0.7778,0.8852,"{'max_depth': 10, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.08378.txt
TYK2,svm,42,10,0.6382,0.6981,0.6208,0.6572,0.7001,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.001676.txt
TYK2,svm,42,20,0.6045,0.5886,0.9698,0.7326,0.3936,"{'C': 1, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.003351.txt
TYK2,svm,42,50,0.7395,0.738,0.8272,0.7801,0.8149,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.008378.txt
